indicatorSlug,indicatorTitle,indicatorDescription,descriptionlen,indicatorCategory,parent,unit,datasource,Dataset Link,IDS_dataSpace,visible_on_platform,updateFreq,used_for_model,currently feeding into the model,District Level Aggregation,adminLevel,cumulativeIndicator,License,State (Owned),Comments
risk-score,Composite Flood Risk,"Composite flood risk is a function of - hazard, vulnerability, exposure, and coping capacity (government response)
Click a district to understand factors contributing to flood risk.",181,Overall Flood Risk,,Score,MODEL,,,y,,y,,,,,,,
topsis-score,Topsis model output,Output score of the topsis model. Useful for knowing the exact risk score value for ranking geographies by actual risk. Not for external use,140,Overall Flood Risk,Overall Flood Risk,Score,MODEL,,n,n,monthly,y,,,,,,,
flood-hazard,Hazard,"Hazard includes the historical incidences of flood , as well as the geophysical properties of the environment that increases the likelihood of a disaster",153,Hazard,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,"30-May: Add ""Score"""
max-rain,Maximum Rainfall in the Region,This is the maximum rainfall (in mm) in the region during the given month,73,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/a8d41fb9-0b9e-4f1a-bdd4-964e5bd1e535,,monthly,y,y,max,,,GODL,,
mean-rain,Mean Rainfall in the Region,This is the average rainfall (in mm) in the region during the given month,73,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/a8d41fb9-0b9e-4f1a-bdd4-964e5bd1e535,,monthly,y,y,mean,,,GODL,,
sum-rain,Total Monthly Rainfall,This is the total rainfall (in mm) in the region during the given month,71,Hazard,Hazard,mm,IMD,https://www.imdpune.gov.in/cmpg/Griddata/Rainfall_25_Bin.html,https://civicdataspace.in/datasets/a8d41fb9-0b9e-4f1a-bdd4-964e5bd1e535,y,monthly,,,sum,,,GODL,,30-May: Round off (no decimal)
elevation-mean,Mean Elevation,This indicates the elevation of the selected area from mean sea level.,70,Hazard,Hazard,m,NASADEM,,"https://civicdataspace.in/datasets/42a03126-8f44-4962-948c-209c1a8ae459
",y,one-time,,,mean,,,,30-May: Round off 2 decimal points,
inundation-pct,Percentage Area Inundated,This is the percentage area of the region detected as inundated in the selected region during the given month.,110,Hazard,Hazard,Ratio,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/6b1393ec-4c37-441e-a3b0-4eb90cdec934,n,monthly,,n,,,,GNU General Public License,,
inundation-intensity-mean,Mean Intensity of Inundation,"This is the historical incidence of inundation in the selected area, based on satellite observation, aggregated over the month. ",128,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/6b1393ec-4c37-441e-a3b0-4eb90cdec934,n,monthly,n,,,,,GNU General Public License,,
inundation-intensity-mean-nonzero,Mean Intensity of Inundation (removing 0 intensity pixels),This is the historical incidence of inundation based on regions which were inundated at least once in the month,111,Hazard,Hazard,Number,BHUVAN,https://bhuvan-app1.nrsc.gov.in/disaster/disaster.php?id=flood,https://civicdataspace.in/datasets/6b1393ec-4c37-441e-a3b0-4eb90cdec934,,monthly,y,y,mean,,,GNU General Public License,,
exposure,Exposure,"The people, infrastructure, housing, production capacities, and other tangible human assets located in hazard-prone areas",121,Exposure,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,
total-hhd,Total Number of Households,This is the total number of households as assets.,49,Exposure,Exposure,Number,MISSION ANTYODAYA 2020,,https://civicdataspace.in/datasets/316b848d-fc5e-44ac-bb46-523b98a2893c,y,annually,y,y,sum,,,GODL,,"30-May: no unit, round off (no decimals)"
sum-population,Population,This is the total number of people residing in the region,57,Exposure,Exposure,Number,WORLDPOP,,https://civicdataspace.in/datasets/30b57b54-fe31-4483-86bb-874900cef050,y,annually,y,y,sum,,,Creative Commons Attribution 4.0 International License,,"30-May: Remove population (not necessary since households number takes care of it)
Keep sex ratio: add a row for this - no unit, round off to 2 decimal points"
vulnerability,Vulnerability,The socio-economic and environmental vulnerabilities which can increase the impact of a hazard on a community. Also includes actual disaster impact as losses and damages.,170,Vulnerability,Overall Flood Risk,Score,MODEL,,,y,monthly,y,,,,,,,"30-May: Add ""Score"""
health-centres-count,Number of Health Centres,This is the number of health centres in the region,50,Vulnerability,Vulnerability,Number,BHARATMAPS,,https://civicdataspace.in/datasets/a2586c90-4aaf-48c5-a49f-b0d321434a23,y,annually,y,y,sum,,,,"30-May: no units, round off - no decimal point",
